category;tweet_id;text;date;retweet_count;geo;coordinates;place_id;place_centroid;place_country;place_country_code;place_full_name;place_name;place_type
where;1.15204E+18;Yesterday actually sounds like a good idea to me. If only we truly could wake up in a world where The Beatles never existed. Imagine how great of a country we would have. Have you ever realized how all their fans are nothing but leftists? There is a reason for that.;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;"chaennie vs jisoo 
choose your fighter 😂

lisa yahhh where u at???
#MGMAVOTE #BLACKPINK
*@ygofficialblink https://t.co/PvONiPij2z";7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;there’s literally a BIRD inside this airport right now where am I;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;Where tf did she say we can watch the rest of the interview? #bb21;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;*@mogushen Now instead of doing the one good thing they had with the last update, where you could click on a tweet and it wouldn't take you off the timeline and where you could click outside the box when you were done, we've now gone back to having to go directly to tweets again.;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;*@relaxgroupie Well where’s your habit? Lol;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;*@ComixVillain *@jessiepridemore Maybe it was a group thing. The whole story keeps getting more bizarre, and quite frankly I'm tired of hearing about it. If the man's guilty where's the proof? Everybody and their dog has an HD video camera on them 24/7 but no-one has a single second of damning footage? Bullshit.;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;*@djtranquilo_ How could any movie where they blow up america not rule;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;*@oprilence *@melbrown00 Truth! It's a deflating start to every season where they do that.;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;*@MrBWings1 *@InstigatorRules *@KatrinaPierson Where's the source?;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;"Remember the times of Flower brothers, Alistair Campbell, Heath streak and many more ?
Remember the times where they are the best Fielding team ?
Remember the times where they were decent side in world cricket?

It's all gone now, congratulations f*@$? Politics https://t.co/K5oROxCtA1";7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;Have reached the stage of our relationship where we sit on the couch, surf social, and show each other the memes and cat pictures we find. No words or conversation. Just alternating giggles and awwwws.;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;*@kookie__1997 🧐 where?;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;*@bratminhyung that's true, i take full responsibility for spoiling you with so much love - but can you really fault me when you're so easy to love? [ducks his head to lay a few kisses along your clothed shoulder, leading to where he brushes his lips over your skin where the collar ends];7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;*@pmonaco7 Just stay in your part of America, where you can speak all the English you want... to yourself.;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;*@TheView Where’s the out rage towards Trump people who are attacked all the time physically and  abused all the time;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;A tour to see where to plant bombs? https://t.co/r4yobWyFZ1;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;*@Ryn0ceros *@BitOHoney42 *@ErickFernandez *@LeBatardShow Except the part where she said that Jews were hypnotizing the world.;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;Sometimes I get into these moods where I just wanna be left alone 🤷🏾‍♀️;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;*@wolfssegners *@missbonekitty where??;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;"love when i am looking up bible passages for fanfiction research and the popup is like, ""strengthening your relationship with the LORD?"" and im like, nah im here to find out exactly where gabriel was out and being a lil bitch during biblical times, sorry";7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;"Me be like ""area 51 is below, where we droppin bois?"" https://t.co/RsP2s8mobO";7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;i’m going camping again this weekend to a place where I get 0 service &amp  I can’t even use service from canada so i’m gonna miss so much shit from comic con aka mostly the walking dead content 😪;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;Here’s the freeway, just a quarter turn from the fourth picture above. I guess there’s kind of an off-ramp where the traffic is hopefully slower. https://t.co/Hxi6C0d3jj;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;hi *@zachwgrace the public wants to know where you got the sweatshirt 😊😊😊 https://t.co/budyLMgbaD;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;*@NotThe12GAF Dude almost scored 50 in three straight games that guy needs somewhere where he can be appreciated and get some exposure.;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;Trump go back to where you came from HELL! #trumpgotohell;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;hi tandag is my city, where are you from? https://t.co/fY7BpJEg8j;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;*@Lowtwait Y'know those cool acts where an acrobat person hangs in the air with some cloth or silk? And does cool tricks with it? I looked it up and it's called aerial silk https://t.co/Tu1YJ3zq0U;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;"Someone recently said they think I stay home all the time because I’m depresed. 

Truth is I stay home because that’s where my cats are and I love them.";7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;"Now, since this has been done, &amp  proven, wouldn't a similar approach be possible for #India where the same can be applied for preventing the #flood scenario? Ambitious &amp  expensive, but can never put price on human life!
Sire, *@narendramodi, naive I may be, but worth a shot! #hope";7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;*@Fang_Taro Who? Where?;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;"WITH #TRUMP IN THE W. H. DOES ANYONE THINK THIS WAS AN ACCIDENT?

Secret locations of US nuclear weapons in Europe accidentally leaked

https://t.co/ZxrSQVwJic
#wiunion #wipolitics #wiworking #USArmy #USArmyReserve #GreenBay #MadisonWI #MKE #Racine #WI08 #USMC #USNavy #USCG #WI02";7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;*@cloudyuris if phase four wins where’s captain marvel 2;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;peak europop where are they now? https://t.co/QOGqbeDyeY;7/19/2019 2:10;0;;;;;;;;;
where;1.15204E+18;If you feel proud to be an American during a time where there are children in (basically) concentration camps...for seeking refuge....just to be safe and seek an educational or escape war zones....u need to seriously get the fuck off Twitter and THINK;7/19/2019 2:10;0;;;01a9a39529b27f36;-73.95116849700453,40.788621;United States;US;Manhattan, NY;Manhattan;city
